Leonardo,DiCaprio,1974-11-11
Ellen,Page,1987-02-21
Tom,Hanks,1956-07-09
Jim,Carrey,1962-01-17
Morgan,Freeman,1937-06-01
Robert,DowneyJR,1965-04-04
Tom,Cruise,1962-07-03
Harrison,Ford,1942-07-13
Heath,Ledger,1979-04-04
